BirdID,BandID,LPDV,name,mean,lower,upper,Rhat,n.eff,Status
8207_2022,8207,1,sigma_1,0.522948578,0.444598625,0.608857838,1.000122624,25205,1
8208_2022,8208,0,cp_1,79.50035748,79.02858792,79.97724597,1.000015697,32311,1
8208_2022,8208,0,int_1,1.069144856,0.678748291,1.460901422,0.999990592,27868,1
8208_2022,8208,0,int_2,19.23400916,18.84346175,19.62310743,0.999995856,27928,1
8208_2022,8208,0,sigma_1,1.264100576,1.073208384,1.470059565,1.000474471,25024,1
8209_2023,8209,1,cp_1,79.61832432,79.00003431,80.58624259,1.000060422,16764,0
8209_2023,8209,1,int_1,0.376066178,0.296524212,0.455915508,1.000043932,27531,0
8209_2023,8209,1,int_2,1.251075369,1.164460933,1.337527051,1.000120708,29429,0
8209_2023,8209,1,sigma_1,0.281405242,0.240407123,0.325662341,1.000077812,25008,0
8210_2022,8210,1,cp_1,110.1718456,108.0050048,113.189917,1.000884718,3981,0
8210_2022,8210,1,int_1,1.342150262,1.263857816,1.417610427,1.0000604,25221,0
8210_2022,8210,1,int_2,2.000357096,1.781460205,2.220189472,1.000023493,13893,0
8210_2022,8210,1,sigma_1,0.325809944,0.276913702,0.378551729,1.000245402,23073,0
8210_2023,8210,1,cp_1,52.48172069,45.22641007,55.99949682,1.045603231,5366,0
8210_2023,8210,1,int_1,0.263260506,0.157416632,0.370012291,1.001008145,17946,0
8210_2023,8210,1,int_2,0.52083284,0.462160556,0.579115192,1.000063241,19141,0
8210_2023,8210,1,sigma_1,0.231870959,0.198098399,0.267366298,0.999978772,21246,0
8211_2023,8211,1,cp_1,79.65954572,79.00013021,80.68969045,1.000244166,16658,0
8211_2023,8211,1,int_1,0.395353031,0.314259076,0.478797844,1.000106198,27681,0
8211_2023,8211,1,int_2,1.257221079,1.171479261,1.34226334,1.000152572,27835,0
8211_2023,8211,1,sigma_1,0.27842083,0.237034275,0.323410315,1.000051757,24615,0
8212_2022,8212,1,cp_1,38.58585721,38.00000005,39.73782614,1.000162552,17268,0
8212_2022,8212,1,int_1,0.190673128,-0.437145851,0.855547289,1.000058605,15992,0
8212_2022,8212,1,int_2,1.648541511,1.551581306,1.750790864,1.000145837,28805,0
8212_2022,8212,1,sigma_1,0.449199243,0.381929257,0.522337131,1.000328999,23890,0
8223_2022,8223,1,cp_1,93.38447988,79.55968569,98.9989033,1.006521351,724,1
8223_2022,8223,1,int_1,0.777592714,0.515436694,1.01383025,1.002668836,1357,1
8223_2022,8223,1,int_2,2.405669238,1.929329674,2.744563692,1.003689757,1264,1
8223_2022,8223,1,sigma_1,0.504416712,0.41172734,0.604760782,1.000851373,12940,1
8223_2023,8223,1,cp_1,113.4830699,113.0212199,113.9880275,1.000041068,21610,1
8223_2023,8223,1,int_1,0.885665173,0.741841524,1.029603519,1.000010057,27342,1
8223_2023,8223,1,int_2,7.538458456,7.064981315,7.999967062,1.000191131,23499,1
8223_2023,8223,1,sigma_1,0.60720653,0.509345967,0.708668018,1.000126014,23331,1
8225_2022,8225,1,cp_1,78.50429749,78.01420577,78.99393925,1.000089974,21038,0
8225_2022,8225,1,int_1,0.646688032,0.548994321,0.746723534,1.000052734,27234,0
8225_2022,8225,1,int_2,1.4668228,1.380289378,1.55357418,0.99999242,27970,0
8225_2022,8225,1,sigma_1,0.249012809,0.20404964,0.298270617,1.000085089,21802,0
8225_2023,8225,1,cp_1,73.24796043,70.96657553,76.90474381,1.000090051,16754,0
8225_2023,8225,1,int_1,0.42252272,0.292647036,0.552507054,1.000200011,24316,0
8225_2023,8225,1,int_2,0.974681983,0.874917284,1.075978799,0.999999723,25243,0
8225_2023,8225,1,sigma_1,0.343140099,0.289141839,0.400336927,1.000107826,23401,0
8226_2022,8226,1,cp_1,78.50659686,78.03019431,78.98586604,1.000084283,28897,0
8226_2022,8226,1,int_1,0.424979557,0.340815461,0.507811299,1.000020578,27369,0
8226_2022,8226,1,int_2,1.27373042,1.205138874,1.342036335,1.00007764,28476,0
8226_2022,8226,1,sigma_1,0.212260043,0.175976108,0.251192972,0.999982672,24501,0
8260_2022,8260,0,cp_1,113.4757671,112.0010488,114.5432611,1.000256113,18552,0
8260_2022,8260,0,int_1,0.588274782,0.448931936,0.727560827,1.000263071,27253,0
8260_2022,8260,0,int_2,2.101132679,1.71539274,2.486293453,1.000253265,23257,0
8260_2022,8260,0,sigma_1,0.498450861,0.407593067,0.596139014,1.000160108,21065,0
8260_2023,8260,0,cp_1,83.49813003,83.01754116,83.96522965,1.000083209,30820,1
8260_2023,8260,0,int_1,0.514158517,0.400431774,0.632837769,1.000033713,29018,1
