BirdID,name,mean,lower,upper,Rhat,n.eff
8191_2022,cp_1,77.12374452,70.0005993,79.15882079,1.011753177,817
8191_2022,int_1,0.7274993,0.565491693,0.895538164,1.010945869,1765
8191_2022,int_2,1.021472402,0.960136253,1.081520009,1.001095294,8244
8191_2022,sigma_1,0.189592175,0.152461982,0.22985323,1.000127253,8928
8191_2023,cp_1,103.9439093,103.000261,104.9424845,1.019164923,7693
8191_2023,int_1,0.330223059,0.269701,0.390971079,1.000135799,18554
8191_2023,int_2,0.843424866,0.747194553,0.935641714,1.000203186,19622
8191_2023,sigma_1,0.186599006,0.151939408,0.225144883,1.000229016,21262
8201_2022,cp_1,34.53179722,34.00696864,34.98870477,1.000114666,16938
8201_2022,int_1,0.160235732,0.139855118,0.179936552,1.000252404,17576
8201_2022,int_2,0.047598181,0.041258216,0.053934933,1.000135282,27058
8201_2022,sigma_1,0.016495681,0.01222893,0.021227257,1.000292604,17903
8202_2022,cp_1,85.50147662,85.02282205,85.97552558,1.000199172,32024
8202_2022,int_1,0.669716973,0.582291305,0.756949043,1.000026673,27840
8202_2022,int_2,3.229493832,3.112817349,3.347317363,0.999988792,28007
8202_2022,sigma_1,0.32597955,0.277122954,0.377050103,1.000335019,25633
8203_2022,cp_1,81.9902054,79.5482595,84.99804456,1.029354327,1199
8203_2022,int_1,0.663711394,0.582219803,0.744902637,1.000256965,17941
8203_2022,int_2,1.257143636,1.148795702,1.362122102,1.000900247,9808
8203_2022,sigma_1,0.286084033,0.24208758,0.332590833,1.000082157,21828
8203_2023,cp_1,94.49709254,94.01078903,94.96406622,1.000021462,29546
8203_2023,int_1,0.387806616,0.320553324,0.455376422,1.000017763,28131
8203_2023,int_2,1.836791238,1.732500076,1.941836416,1.000389972,29558
8203_2023,sigma_1,0.271877767,0.233241586,0.312820418,1.000189729,25709
8204_2022,cp_1,102.4852387,101.033758,103.8719458,1.000018385,31317
8204_2022,int_1,0.691072539,0.627273566,0.755350157,1.000090304,27073
8204_2022,int_2,9.692854751,9.56173053,9.823850805,1.000170964,27490
8204_2022,sigma_1,0.268445629,0.229266532,0.31014693,1.000071213,25519
8204_2023,cp_1,90.6687535,90.0000284,91.70140788,1.000376654,16386
8204_2023,int_1,0.521460207,0.444059389,0.601725224,1.000107597,24124
8204_2023,int_2,2.883776628,2.773247275,2.997806531,1.000165897,23380
8204_2023,sigma_1,0.300260097,0.256266755,0.347389285,1.000188982,23554
8206_2022,cp_1,88.5074894,88.02934136,88.98505227,1.000079136,27103
8206_2022,int_1,0.806759416,0.498628376,1.112020634,1.000241106,26223
8206_2022,int_2,13.49274048,13.05313102,13.92503055,1.000036303,27531
8206_2022,sigma_1,1.17701968,1.001444689,1.365482735,1.000151377,24103
8207_2022,cp_1,102.5000839,101.0576061,103.9064637,1.000081764,31591
8207_2022,int_1,0.668512638,0.544339014,0.794260492,1.000115168,28391
8207_2022,int_2,5.234751595,4.950780139,5.502130736,1.000567057,27520
8207_2022,sigma_1,0.522948578,0.444598625,0.608857838,1.000122624,25205
8208_2022,cp_1,79.50035748,79.02858792,79.97724597,1.000015697,32311
8208_2022,int_1,1.069144856,0.678748291,1.460901422,0.999990592,27868
8208_2022,int_2,19.23400916,18.84346175,19.62310743,0.999995856,27928
8208_2022,sigma_1,1.264100576,1.073208384,1.470059565,1.000474471,25024
8208_2023,cp_1,56.92007509,44.53389255,74.9763049,1.004721697,1096
8208_2023,int_1,0.241623495,0.15135523,0.327199634,1.001919108,2941
8208_2023,int_2,0.426758201,0.3788067,0.472581606,1.00117644,6337
8208_2023,sigma_1,0.167636191,0.142759532,0.193413292,1.000075237,19399
8209_2023,cp_1,79.61832432,79.00003431,80.58624259,1.000060422,16764
8209_2023,int_1,0.376066178,0.296524212,0.455915508,1.000043932,27531
8209_2023,int_2,1.251075369,1.164460933,1.337527051,1.000120708,29429
8209_2023,sigma_1,0.281405242,0.240407123,0.325662341,1.000077812,25008
8210_2022,cp_1,110.1718456,108.0050048,113.189917,1.000884718,3981
8210_2022,int_1,1.342150262,1.263857816,1.417610427,1.0000604,25221
8210_2022,int_2,2.000357096,1.781460205,2.220189472,1.000023493,13893
8210_2022,sigma_1,0.325809944,0.276913702,0.378551729,1.000245402,23073
8210_2023,cp_1,52.48172069,45.22641007,55.99949682,1.045603231,5366
8210_2023,int_1,0.263260506,0.157416632,0.370012291,1.001008145,17946
8210_2023,int_2,0.52083284,0.462160556,0.579115192,1.000063241,19141
8210_2023,sigma_1,0.231870959,0.198098399,0.267366298,0.999978772,21246
8211_2023,cp_1,79.65954572,79.00013021,80.68969045,1.000244166,16658
8211_2023,int_1,0.395353031,0.314259076,0.478797844,1.000106198,27681
8211_2023,int_2,1.257221079,1.171479261,1.34226334,1.000152572,27835
8211_2023,sigma_1,0.27842083,0.237034275,0.323410315,1.000051757,24615
8212_2022,cp_1,38.58585721,38.00000005,39.73782614,1.000162552,17268
8212_2022,int_1,0.190673128,-0.437145851,0.855547289,1.000058605,15992
8212_2022,int_2,1.648541511,1.551581306,1.750790864,1.000145837,28805
8212_2022,sigma_1,0.449199243,0.381929257,0.522337131,1.000328999,23890
8217_2022,cp_1,55.03063526,53.9963237,58.49075428,1.006337644,1270
