BandID,BirdID,age,studyarea,captyr,Yr,name,mean,upper,lower,LPDV,Status,yrsincecap
8226,8226_2022,0,4D,2022,2022,sigma_1,0.212260043,0.251192972,0.175976108,1,0,0
8260,8260_2022,1,4D,2022,2022,cp_1,113.4757671,114.5432611,112.0010488,0,0,0
8260,8260_2022,1,4D,2022,2022,int_1,0.588274782,0.727560827,0.448931936,0,0,0
8260,8260_2022,1,4D,2022,2022,int_2,2.101132679,2.486293453,1.71539274,0,0,0
8260,8260_2022,1,4D,2022,2022,sigma_1,0.498450861,0.596139014,0.407593067,0,0,0
8260,8260_2023,0,4D,2022,2023,cp_1,83.49813003,83.96522965,83.01754116,0,1,1
8260,8260_2023,0,4D,2022,2023,int_1,0.514158517,0.632837769,0.400431774,0,1,1
8260,8260_2023,0,4D,2022,2023,int_2,3.721739911,3.811157035,3.62882195,0,1,1
8260,8260_2023,0,4D,2022,2023,sigma_1,0.280822494,0.334148763,0.230478913,0,1,1
8261,8261_2022,0,4D,2022,2022,cp_1,89.90124305,90.87568563,89.00271875,0,0,0
8261,8261_2022,0,4D,2022,2022,int_1,0.582728069,0.718359823,0.454036426,0,0,0
8261,8261_2022,0,4D,2022,2022,int_2,2.515846723,2.644348243,2.387718594,0,0,0
8261,8261_2022,0,4D,2022,2022,sigma_1,0.350115612,0.416809025,0.287782779,0,0,0
8262,8262_2022,0,4D,2022,2022,cp_1,66.48505749,66.96385486,66.00222766,1,0,0
8262,8262_2022,0,4D,2022,2022,int_1,1.11047697,1.306432305,0.915318128,1,0,0
8262,8262_2022,0,4D,2022,2022,int_2,0.368791491,0.429246368,0.307032811,1,0,0
8262,8262_2022,0,4D,2022,2022,sigma_1,0.220953506,0.264318665,0.179970553,1,0,0
8405,8405_2022,0,3D,2022,2022,cp_1,112.2838214,113.8433136,111.0000087,1,0,0
8405,8405_2022,0,3D,2022,2022,int_1,1.535525481,1.640018355,1.425125722,1,0,0
8405,8405_2022,0,3D,2022,2022,int_2,3.544803527,3.926145511,3.172253893,1,0,0
8405,8405_2022,0,3D,2022,2022,sigma_1,0.481071037,0.555293719,0.412744664,1,0,0
8407,8407_2022,1,3D,2022,2022,cp_1,42.81935838,43.93450587,42.00002114,1,0,0
8407,8407_2022,1,3D,2022,2022,int_1,0.370787836,0.604104649,0.140782187,1,0,0
8407,8407_2022,1,3D,2022,2022,int_2,1.376822644,1.47376319,1.276484728,1,0,0
8407,8407_2022,1,3D,2022,2022,sigma_1,0.390552698,0.458001207,0.328033448,1,0,0
8408,8408_2022,0,3D,2022,2022,cp_1,44.43890848,45.92498516,43.00304545,1,0,0
8408,8408_2022,0,3D,2022,2022,int_1,0.389596108,0.642188792,0.133673422,1,0,0
8408,8408_2022,0,3D,2022,2022,int_2,2.038956267,2.133004941,1.943311032,1,0,0
8408,8408_2022,0,3D,2022,2022,sigma_1,0.411804382,0.476194351,0.352262612,1,0,0
8451,8451_2022,0,5C,2022,2022,cp_1,94.50809431,94.99974306,94.04571452,1,1,0
8451,8451_2022,0,5C,2022,2022,int_1,0.516734748,0.60074503,0.431048569,1,1,0
